번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"119","047440","레이젠","KOSDAQ","주권","보통주","2001/11/20","2018/10/11","감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2018/09/28","2018/10/10","IT부품","500","29146629",,
"120","110660","세신버팔로","KONEX","주권","보통주","2014/12/08","2018/10/11","지정자문인 선임계약 해지 후 30일이내 미체결(2018.9.20限)","2018/09/28","2018/10/10","-","500","6000000",,
"121","026260","위너지스","KOSDAQ","주권","보통주","1996/09/24","2018/10/11","감사의견거절(감사범위 제한)","2018/09/28","2018/10/10","유통","500","6495008",,
"122","052290","트레이스","KOSDAQ","주권","보통주","2001/05/31","2018/10/11","감사의견거절(감사범위 제한)","2018/09/28","2018/10/10","IT부품","500","54822175",,
"123","005980","성지건설","KOSPI","주권","보통주","1995/03/17","2018/10/04","감사의견 의견거절","2018/09/19","2018/10/02","건설업","5000","14209379",,
"124","237720","케이엠제약","KONEX","주권","보통주","2016/02/24","2018/09/28","피흡수합병",,,"-","100","2243238",,
"125","219750","지티지웰니스","KONEX","주권","보통주","2015/06/17","2018/09/21","코스닥시장 이전상장",,,"-","500","4828665","219750","지티지웰니스"
"126","016170","카카오M","KOSDAQ","주권","보통주","2001/01/11","2018/09/18","피흡수합병",,,"출판·매체복제","500","25291705",,
"127","062580","인산가","KONEX","주권","보통주","2015/12/21","2018/09/11","피흡수합병",,,"-","500","4400000",,
"128","197140","디지캡","KONEX","주권","보통주","2014/05/30","2018/09/07","코스닥시장 이전상장",,,"-","500","3153581","197140","디지캡"
"129","251540","에스와이제이","KONEX","주권","보통주","2017/05/02","2018/09/07","감사의견 거절(감사범위 제한)","2018/08/29","2018/09/06","-","500","6566575",,
"130","173130","오파스넷","KONEX","주권","보통주","2016/12/20","2018/08/24","코스닥시장 이전상장",,,"-","500","2967502","173130","오파스넷"
"131","138290","지성이씨에스","KONEX","주권","보통주","2015/11/30","2018/08/22","상장폐지 신청('18.7.19)","2018/08/10","2018/08/21","-","1000","2352000",,
"132","043580","에임하이","KOSDAQ","주권","보통주","2001/08/02","2018/08/10","감사의견거절(감사범위 제한)","2018/08/01","2018/08/09","IT부품","500","65262623",,
"133","144740","피엠디아카데미","KONEX","주권","보통주","2013/07/01","2018/08/07","지정자문인 선임계약 해지 후 30일이내 미체결(2018.07.24限)","2018/07/27","2018/08/06","-","500","1737554",,
"134","230490","동부제4호스팩","KOSDAQ","주권","보통주","2015/12/18","2018/07/26","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/07/17","2018/07/25","금융","100","5300000",,
"135","130960","CJ E&M","KOSDAQ","주권","보통주","2010/10/15","2018/07/18","피흡수합병",,,"방송서비스","5000","38732089",,
"136","090730","SIMPAC Metal","KOSDAQ","주권","보통주","2008/10/17","2018/07/17","피흡수합병",,,"금속","500","13000000",,
"137","024660","하림홀딩스","KOSDAQ","주권","보통주","1997/08/06","2018/07/16","피흡수합병",,,"금융","500","89157190",,
"138","099660","신텍","KOSDAQ","주권","보통주","2009/04/30","2018/07/09","발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지","2018/06/28","2018/07/06","금속","500","63987602",,
"139","226850","키움스팩4호","KOSDAQ","주권","보통주","2015/10/29","2018/06/05","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/05/25","2018/06/04","금융","100","10204000",,
"140","225440","이베스트스팩3호","KOSDAQ","주권","보통주","2015/10/19","2018/05/28","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/05/16","2018/05/25","금융","100","4100000",,
"141","900180","완리","KOSDAQ","외국주권","보통주","2011/06/13","2018/05/23","감사의견거절(감사범위 제한)","2018/05/11","2018/05/21","금융","무액면","107630204",,
