번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"479","033280","어울림엘시스","KOSDAQ","주권","보통주","1997/11/10","2012/09/11","2반기 연속 자본잠식률 50%이상","2012/08/31","2012/09/10","소프트웨어","100","24632684",,
"480","038320","어울림정보","KOSDAQ","주권","보통주","2002/04/23","2012/09/08","2반기 연속 자본잠식률 50%이상","2012/08/30","2012/09/07","소프트웨어","100","23488731",,
"481","019260","엔케이바이오","KOSDAQ","주권","보통주","1996/01/04","2012/09/05","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/08/27","2012/09/04","제약","1000","68637280",,
"482","011800","배명금속","KOSPI","주권","보통주","1990/07/14","2012/09/03","최종부도발생","2012/08/23","2012/08/31","철강금속","500","103594415",,
"483","105070","금강제강","KOSDAQ","주권","보통주","2010/02/02","2012/08/14","최종부도 발생","2012/08/03","2012/08/13","금속","500","6792000",,
"484","045260","디에이치패션","KOSDAQ","주권","보통주","2001/11/08","2012/08/01","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2012/07/23","2012/07/31","유통","500","56463998",,
"485","007800","솔로몬저축은행","KOSPI","주권","보통주","1996/11/19","2012/07/25","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/07/16","2012/07/24","기타금융","5000","22802040",,
"486","025610","한국저축은행","KOSPI","주권","보통주","1995/03/17","2012/07/25","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/07/16","2012/07/24","기타금융","5000","16000000",,
"487","098400","엔스퍼트","KOSDAQ","주권","보통주","2008/01/30","2012/07/24","기업의계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/07/13","2012/07/23","통신장비","100","13113705",,
"488","000470","그린손해보험","KOSPI","주권","보통주","1975/06/30","2012/07/16","자본전액잠식","2012/07/05","2012/07/13","보험","5000","26588686",,
"489","021060","한림창투","KOSDAQ","주권","보통주","2000/06/15","2012/06/27","기업의계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/06/18","2012/06/26","금융","500","10025553",,
"490","004550","대우송도개발","KOSPI","주권","보통주","1978/07/31","2012/06/22","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/06/13","2012/06/21","유통업","5000","46135450",,
"491","004555","대우송도개발1우","KOSPI","주권","구형우선주","1987/11/13","2012/06/22","기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/06/13","2012/06/21","유통업","5000","143386",,
"492","012400","허메스홀딩스","KOSPI","주권","보통주","1988/06/15","2012/06/12","감사의견 의견거절","2012/05/31","2012/06/11","전기전자","500","5740349",,
"493","012405","허메스홀딩스우","KOSPI","주권","구형우선주","1989/11/07","2012/06/12","감사의견 의견거절","2012/05/31","2012/06/11","전기전자","500","800",,
"494","008540","케이비물산","KOSPI","주권","보통주","1990/01/16","2012/06/08","감사의견 의견거절","2012/05/29","2012/06/07","유통업","500","16974857",,
"495","067130","클루넷","KOSDAQ","주권","보통주","2002/06/17","2012/06/08","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/05/29","2012/06/07","컴퓨터서비스","500","5040873",,
"496","037240","평안물산","KOSDAQ","주권","보통주","1999/12/14","2012/06/01","감사의견거절(감사범위제한)","2012/05/22","2012/05/31","IT부품","500","1714200",,
"497","065310","JH코오스","KOSDAQ","주권","보통주","2002/07/19","2012/05/31","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/05/21","2012/05/30","섬유·의류","500","38377223",,
"498","108890","거북선4호","KOSPI","선박투자회사","보통주","2009/03/06","2012/05/24","신청에 의한 상장폐지",,,"서비스업","5000","3042710",,
"499","001310","풍림산업","KOSPI","주권","보통주","1978/11/30","2012/05/18","최종부도발생","2012/05/09","2012/05/17","건설업","5000","21520000",,
"500","053040","블루젬디앤씨","KOSDAQ","주권","보통주","2001/08/09","2012/05/17","감사의견거절(감사범위 제한 및 계속기업존속 불확실성)","2012/05/08","2012/05/16","화학","500","12289414",,
"501","050470","CT&T","KOSDAQ","주권","보통주","2002/04/23","2012/05/01","감사 의견거절(감사범위 제한)","2012/04/20","2012/04/30","운송장비·부품","500","27403947",,
"502","066690","보광티에스","KOSDAQ","주권","보통주","2008/10/06","2012/05/01","감사의견 거절(감사범위 제한 및 계속기업존속불확실성)","2012/04/20","2012/04/30","금속","500","37833749",,
"503","015200","비앤비성원","KOSDAQ","주권","보통주","1997/01/17","2012/05/01","감사의견거절(감사범위제한)","2012/04/20","2012/04/30","금속","500","153649804",,
"504","040740","아인스M&M","KOSDAQ","주권","보통주","2004/01/28","2012/05/01","감사의견거절(감사범위 제한 및 계속기업존속 불확실성)","2012/04/20","2012/04/30","유통","100","29217403",,
"505","065610","폴리플러스","KOSDAQ","주권","보통주","2002/12/06","2012/05/01","감사의견거절(감사범위제한)","2012/04/20","2012/04/30","화학","500","39540291",,
"506","045470","에이프로테크놀로지","KOSDAQ","주권","보통주","2000/07/27","2012/04/24","사업보고서 법정제출기한 익일부터 10일 이내 미제출 등","2012/04/13","2012/04/23","의료·정밀기기","500","5162723",,
"507","068630","에피밸리","KOSDAQ","주권","보통주","2005/10/27","2012/04/24","사업보고서 법정제출기한 익일부터 10일 이내 미제출","2012/04/13","2012/04/23","IT부품","500","4264236",,
"508","098150","한국아태특별","KOSPI","투자회사","보통주","2007/09/05","2012/04/23","해산 사유 발생",,,"기타금융","무액면","7328373",,
"509","002670","미주제강","KOSDAQ","주권","보통주","1995/01/04","2012/04/17","발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래 정지","2012/04/05","2012/04/16","금속","500","44179882",,
"510","101790","케이알제2호","KOSPI","부동산투자회사","보통주","2008/05/08","2012/04/17","자본잠식(자본금의 50/100이상 잠식) 2년 계속","2012/04/05","2012/04/16","서비스업","5000","5000000",,
"511","052350","코아에스앤아이","KOSDAQ","주권","보통주","2001/07/20","2012/04/17","감사의견거절(감사범위 제한)","2012/04/05","2012/04/16","컴퓨터서비스","500","6952005",,
"512","042340","대국","KOSDAQ","주권","보통주","2000/06/22","2012/04/13","최근3사업연도중2사업연도자기자본 50%초과법인세비용차감전손실발생","2012/04/03","2012/04/12","유통","500","13681787",,
"513","056710","미리넷","KOSDAQ","주권","보통주","2002/01/10","2012/04/13","자본전액잠식","2012/04/03","2012/04/12","통신장비","500","55592019",,
"514","094700","미성포리테크","KOSDAQ","주권","보통주","2007/12/20","2012/04/13","자본전액잠식","2012/04/03","2012/04/12","IT부품","500","12544054",,
"515","056010","아이스테이션","KOSDAQ","주권","보통주","2002/08/13","2012/04/13","자본전액잠식 등","2012/04/03","2012/04/12","정보기기","500","23507337",,
"516","015390","엘앤씨피","KOSDAQ","주권","보통주","2001/08/09","2012/04/13","감사의견거절(감사범위제한)","2012/04/03","2012/04/12","화학","100","34810061",,
"517","089480","평산","KOSDAQ","주권","보통주","2006/08/22","2012/04/13","감사의견거절(감사범위제한)","2012/04/03","2012/04/12","금속","500","21419242",,
"518","037320","시노펙스그린테크","KOSDAQ","주권","보통주","2002/09/17","2012/03/19","피흡수합병",,,"유통","500","75710749",,
"519","114130","거북선5호","KOSPI","선박투자회사","보통주","2009/10/01","2012/03/02","신청에 의한 상장폐지",,,"서비스업","5000","1610000",,
"520","114140","거북선6호","KOSPI","선박투자회사","보통주","2009/10/01","2012/03/02","신청에 의한 상장폐지",,,"서비스업","5000","1190000",,
"521","134000","거북선7호","KOSPI","선박투자회사","보통주","2010/11/10","2012/03/02","신청에 의한 상장폐지",,,"서비스업","5000","2000006",,
"522","088960","씨티엘테크","KOSDAQ","주권","보통주","2006/06/30","2012/02/08","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/01/30","2012/02/07","IT부품","500","21239310",,
"523","037380","에이원마이크로","KOSDAQ","주권","보통주","2000/01/27","2012/02/01","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/01/19","2012/01/31","일반전기전자","500","22142787",,
"524","046720","엔하이테크","KOSDAQ","주권","보통주","2002/10/10","2012/02/01","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/01/19","2012/01/31","IT부품","500","15936242",,
"525","093820","한국유전15-1","KOSPI","투자회사","보통주","2007/01/02","2012/02/01","해산 사유 발생",,,"기타금융","무액면","40820000",,
"526","061050","지앤디윈텍","KOSDAQ","주권","보통주","2003/01/06","2012/01/20","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2012/01/11","2012/01/19","일반전기전자","500","13386115",,
"527","032930","에이스앤파트너스","KOSDAQ","주권","보통주","1997/07/14","2012/01/18","피흡수합병",,,"통신장비","500","16893659",,
"528","022520","코오롱아이넷","KOSPI","주권","보통주","2011/07/19","2012/01/11","해산 사유 발생",,,"유통업","500","81481540",,
"529","025340","그린기술투자","KOSDAQ","주권","보통주","2000/05/04","2011/12/28","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/12/19","2011/12/27","금융","500","19784978",,
"530","061140","엘앤피아너스","KOSDAQ","주권","보통주","2004/10/29","2011/12/28","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 결정","2011/12/19","2011/12/27","통신장비","500","53203854",,
"531","025970","알덱스","KOSDAQ","주권","보통주","1995/09/07","2011/12/20","피흡수합병",,,"금속","500","122666326",,
"532","054120","더체인지","KOSDAQ","주권","보통주","2002/06/18","2011/12/15","피흡수합병",,,"오락·문화","500","114780987",,
"533","090090","디앤샵","KOSDAQ","주권","보통주","2006/06/12","2011/12/15","피흡수합병",,,"인터넷","500","10849178",,
"534","026220","에스티씨라이프","KOSDAQ","주권","보통주","1995/10/06","2011/11/29","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/11/18","2011/11/28","유통","500","50503201",,
"535","037540","네스테크","KOSDAQ","주권","보통주","1999/12/21","2011/11/26","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/11/17","2011/11/25","의료·정밀기기","500","63702412",,
"536","900020","코웰이홀딩스","KOSDAQ","외국주권","보통주","2008/01/29","2011/11/26","상장폐지신청('11.10.27)","2011/11/17","2011/11/25","기타서비스","0.1","30000000",,
"537","094520","맵스베트남1","KOSPI","투자회사","보통주","2007/02/01","2011/11/24","신청에 의한 상장폐지",,,"기타금융","무액면","24360821",,
"538","052810","아시아미디어홀딩스","KOSDAQ","주권","보통주","2001/12/13","2011/11/22","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/11/11","2011/11/21","소프트웨어","500","32287232",,
"539","950030","네프로아이티","KOSDAQ","주식예탁증권","보통주","2009/04/24","2011/11/05","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/10/27","2011/11/04",,"무액면","6600000",,
"540","039130","하나투어","KOSDAQ","주권","보통주","2000/11/28","2011/11/01","유가증권시장 상장",,,"서비스업","500","11616185","039130","하나투어"
"541","037550","클라스타","KOSDAQ","주권","보통주","2002/01/17","2011/10/26","자본잠식률 50% 이상으로 관리종목 지정 후, 최근 반기의 재무제표에 대한 감사인의 감사의견 거절","2011/10/17","2011/10/25","정보기기","500","1645185",,
"542","040180","대양글로벌","KOSDAQ","주권","보통주","2000/07/20","2011/10/25","감사의견거절(감사범위 제한)","2011/10/17","2011/10/24","컴퓨터서비스","500","29348084",,
"543","024100","제일저축은행","KOSPI","주권","보통주","1997/02/12","2011/10/14","자본전액잠식","2011/10/05","2011/10/13","기타금융","5000","12860000",,
"544","026540","제일창투","KOSDAQ","주권","보통주","2000/06/20","2011/10/14","감사의견거절(감사범위제한)","2011/10/06","2011/10/13","금융","500","68000000",,
"545","037700","토자이홀딩스","KOSDAQ","주권","보통주","1999/12/24","2011/10/12","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/09/30","2011/10/11","유통","500","49347660",,
"546","054010","선팩테크","KOSDAQ","주권","보통주","2001/10/23","2011/10/06","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/09/26","2011/10/05","IT부품","500","28612751",,
"547","042870","에코페트로시스템","KOSDAQ","주권","보통주","2000/06/27","2011/10/06","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/09/26","2011/10/05","유통","500","8533338",,
"548","103150","하이트맥주","KOSPI","주권","보통주","2008/07/30","2011/09/26","해산 사유 발생",,,"음식료품","5000","9563918",,
"549","103155","하이트맥주우","KOSPI","주권","구형우선주","2008/07/30","2011/09/26","해산 사유 발생",,,"음식료품","5000","372935",,
"550","081090","씨모텍","KOSDAQ","주권","보통주","2007/11/14","2011/09/23","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성) 등","2011/09/14","2011/09/22","통신장비","500","26500184",,
"551","052880","큐앤에스","KOSDAQ","주권","보통주","2001/07/24","2011/09/23","상장폐지사유 발생","2011/09/14","2011/09/22","기타서비스","500","49313688",,
"552","036840","히스토스템","KOSDAQ","주권","보통주","1999/12/24","2011/09/15","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성등을 종합적으로 고려하여 상장폐지가  필요하다고 인정","2011/09/02","2011/09/14","기타서비스","500","29675245",,
"553","023020","동양매직","KOSDAQ","주권","보통주","2000/07/20","2011/09/14","피흡수합병",,,"일반전기전자","5000","8400000",,
"554","047600","세계투어","KOSDAQ","주권","보통주","2001/01/11","2011/09/09","자본잠식률 50% 이상으로 관리종목 지정 후 반기보고서 법정제출기한 익일부터 10일이내 반기검토(감사)보고서 미제출","2011/08/31","2011/09/08","기타서비스","500","1730357",,
"555","066340","케이에스알","KOSDAQ","주권","보통주","2003/02/07","2011/09/09","자본잠식률 50% 이상으로 관리종목 지정 후 반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출","2011/08/31","2011/09/08","통신장비","500","72493060",,
"556","078520","에이블씨엔씨","KOSDAQ","주권","보통주","2005/02/04","2011/09/07","유가증권시장 상장",,,"화학","500","9421492","078520","에이블씨엔씨"
"557","036550","에이스디지텍","KOSDAQ","주권","보통주","2003/01/07","2011/08/22","피흡수합병",,,"IT부품","500","23206211",,
"558","050640","이룸지엔지","KOSDAQ","주권","보통주","2005/08/05","2011/08/20","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2011/08/10","2011/08/19","운송장비·부품","500","45579387",,
"559","022520","코오롱아이넷","KOSDAQ","주권","보통주","2001/09/13","2011/07/19","유가증권시장 상장",,,"유통업","500","81481540",,
"560","016510","현대DSF","KOSPI","주권","보통주","1994/12/27","2011/07/18","해산 사유 발생",,,"유통업","5000","9000000",,
"561","034600","글로웍스","KOSDAQ","주권","보통주","1999/12/07","2011/06/29","자본잠식률 50%이상으로 관리종목 지정 후 반기 재무제표에 대한 감사의견 거절","2011/06/20","2011/06/28","기타서비스","500","17360288",,
"562","105380","다산리츠","KOSPI","부동산투자회사","보통주","2010/09/09","2011/06/24","감사의견 의견거절","2011/06/15","2011/06/23","서비스업","1000","22000000",,
"563","052510","에코솔루션","KOSDAQ","주권","보통주","2001/12/18","2011/06/16","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/06/07","2011/06/15","기타서비스","500","62283910",,
"564","039350","헤파호프","KOSDAQ","주권","보통주","2000/12/07","2011/06/16","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/06/07","2011/06/15","제약","500","34120221",,
"565","031950","에듀패스","KOSDAQ","주권","보통주","1996/12/23","2011/06/09","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2011/05/30","2011/06/08","기타서비스","500","24138093",,
"566","005270","대구은행","KOSPI","주권","보통주","1972/05/12","2011/06/07","지주회사의 완전자회사화(지주회사 신규상장)",,,"은행","5000","132125000",,
"567","071955","코아스웰1우B","KOSPI","주권","신형우선주","2007/04/20","2011/05/26","종목별 상장폐지신청",,,"기타제조업","500","2173913","071950","코아스"
"568","004620","캠브리지코오롱","KOSPI","주권","보통주","1988/05/19","2011/05/17","해산 사유 발생",,,"섬유의복","5000","4867732",,
"569","014590","티엘씨레저","KOSPI","주권","보통주","2000/01/06","2011/05/13","감사의견 의견거절","2011/05/02","2011/05/12","서비스업","500","77079581",,
"570","017170","훈영","KOSPI","주권","보통주","1995/07/08","2011/05/13","감사의견 의견거절","2011/05/02","2011/05/12","서비스업","500","2670326",,
"571","038710","BRN사이언스","KOSDAQ","주권","보통주","2002/02/19","2011/05/07","감사의견거절(계속기업으로서의 존속능력에 대한 불확실성)","2011/04/27","2011/05/06","제약","500","15226169",,
"572","072530","나이스메탈","KOSDAQ","주권","보통주","2003/12/05","2011/05/07","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/04/27","2011/05/06","금속","500","42517906",,
"573","030420","디패션","KOSDAQ","주권","보통주","1997/07/04","2011/05/07","감사의견 부적정","2011/04/27","2011/05/06","디지털컨텐츠","500","4048022",,
"574","033850","지노시스템","KOSDAQ","주권","보통주","1998/05/25","2011/05/07","감사의견거절(감사범위제한)","2011/04/27","2011/05/06","기계·장비","500","8541871",,
"575","033855","지노시스템우","KOSDAQ","주권","신형우선주","2001/09/21","2011/05/07","감사의견거절(감사범위제한)","2011/04/27","2011/05/06","기계·장비","500","1135",,
"576","019430","넥서스투자","KOSDAQ","주권","보통주","1989/12/08","2011/04/29","감사의견거절(감사범위제한)","2011/04/20","2011/04/28","금융","500","80425575",,
"577","054150","뉴젠아이씨티","KOSDAQ","주권","보통주","2001/11/08","2011/04/29","감사의견거절(감사범위제한)","2011/04/20","2011/04/28","유통","500","20913717",,
"578","088810","맥스브로","KOSDAQ","주권","보통주","2006/04/17","2011/04/29","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/04/20","2011/04/28","화학","1000","7849967",,
"579","017160","세븐코스프","KOSDAQ","주권","보통주","1992/09/07","2011/04/29","감사의견거절(감사범위제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/04/20","2011/04/28","음식료·담배","500","54021124",,
"580","054170","엔빅스","KOSDAQ","주권","보통주","2001/10/11","2011/04/29","감사의견거절(감사범위 제한)","2011/04/20","2011/04/28","컴퓨터서비스","500","20239997",,
"581","039040","유니텍전자","KOSDAQ","주권","보통주","2000/03/21","2011/04/29","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/04/20","2011/04/28","유통","500","8034237",,
"582","043630","지앤알","KOSDAQ","주권","보통주","2000/07/04","2011/04/29","감사의견거절(감사범위 제한 및 계속기업으로서의 존속능력에 대한 불확실성)","2011/04/20","2011/04/28","IT부품","500","60333797",,
"583","016160","오라바이오틱스","KOSPI","주권","보통주","1989/06/26","2011/04/26","공시서류 미제출(사업보고서) 후 10일이내 미제출","2011/04/15","2011/04/25","전기전자","100","3894845",,
"584","016167","오라바이오틱스2우B","KOSPI","주권","신형우선주","2008/10/14","2011/04/26","공시서류 미제출(사업보고서) 후 10일이내 미제출","2011/04/15","2011/04/25","전기전자","100","27376",,
"585","032290","알티전자","KOSDAQ","주권","보통주","1997/03/15","2011/04/23","사업보고서 법정제출기한 익일부터 10일 이내 미제출","2011/04/14","2011/04/22","IT부품","500","23538934",,
"586","049690","포휴먼","KOSDAQ","주권","보통주","2002/01/08","2011/04/23","사업보고서 법정제출기한 익일부터 10일이내 미제출","2011/04/14","2011/04/22","기타서비스","500","17122728",,
"587","037020","한와이어리스","KOSDAQ","주권","보통주","1999/11/16","2011/04/23","사업보고서 법정제출기한 익일부터 10일이내 미제출","2011/04/14","2011/04/22","인터넷","500","16614628",,
"588","060750","제이콤","KOSDAQ","주권","보통주","2002/04/11","2011/04/16","최종부도 발생","2011/04/07","2011/04/15","통신장비","500","42818215",,
"589","005350","봉신","KOSPI","주권","보통주","1988/08/12","2011/04/15","자본전액잠식","2011/04/06","2011/04/14","운수창고업","500","1971889",,
"590","013240","셀런","KOSPI","주권","보통주","1996/07/31","2011/04/15","자본전액잠식","2011/04/06","2011/04/14","전기전자","500","61436176",,
"591","031990","대선조선","KOSDAQ","주권","보통주","1997/01/07","2011/04/13","자본전액잠식 등","2011/04/04","2011/04/12","운송장비·부품","5000","506000",,
"592","043680","스톰이앤에프","KOSDAQ","주권","보통주","2000/07/27","2011/04/13","자본전액잠식 등","2011/04/04","2011/04/12","오락·문화","500","15750730",,
"593","048640","엠엔에프씨","KOSDAQ","주권","보통주","2001/01/09","2011/04/13","자본전액잠식 등","2011/04/04","2011/04/12","화학","500","3608171",,
"594","030030","중앙디자인","KOSDAQ","주권","보통주","2001/12/04","2011/04/13","자본전액잠식","2011/04/04","2011/04/12","기타서비스","500","61825853",,
"595","019120","경윤하이드로","KOSDAQ","주권","보통주","1992/12/18","2011/04/06","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/03/28","2011/04/05","기계·장비","500","88519887",,
"596","005280","부산은행","KOSPI","주권","보통주","1972/06/15","2011/03/30","지주회사의 완전자회사화(지주회사 신규상장)",,,"은행","5000","186683650",,
"597","037150","CJ인터넷","KOSDAQ","주권","보통주","1999/12/24","2011/03/22","씨제이이앤엠(주)에 피흡수합병",,,"인터넷","500","22801263",,
"598","056200","엠넷미디어","KOSDAQ","주권","보통주","2002/01/29","2011/03/22","씨제이이앤엠(주)에 피흡수합병",,,"방송서비스","500","65170746",,
"599","045710","온미디어","KOSPI","주권","보통주","2006/07/03","2011/03/22","해산 사유 발생",,,"서비스업","500","118097990",,
"600","032380","핸디소프트","KOSDAQ","주권","보통주","1999/11/23","2011/03/03","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/02/21","2011/03/02","소프트웨어","500","52093484",,
"601","009720","전기초자","KOSPI","주권","보통주","1995/12/21","2011/02/16","신청에 의한 상장폐지","2011/02/07","2011/02/15","비금속광물","5000","8073375",,
"602","046240","에스브이에이치","KOSDAQ","주권","보통주","2000/11/07","2011/02/12","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2011/01/31","2011/02/11","인터넷","500","44919523",,
"603","084450","세실","KOSDAQ","주권","보통주","2007/11/20","2011/02/10","감사의견거절(범위제한 및 계속기업 존속 불확실성)","2011/01/27","2011/02/09","제약","500","12299995",,
"604","004149","동방전환상환3우B","KOSPI","주권","신형우선주","2007/09/13","2011/01/21","종목별 상장폐지신청",,,"운수창고업","1000","1436780","004140","동방"
"605","051820","아이피에스","KOSDAQ","주권","보통주","2005/11/11","2011/01/14","피흡수합병",,,"반도체","500","16594003",,
"606","088020","네이쳐글로벌","KOSDAQ","주권","보통주","2006/12/19","2011/01/08","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/12/29","2011/01/07","반도체","500","64777386",,
"607","094950","지비베트남1","KOSPI","투자회사","보통주","2007/05/08","2011/01/05","해산 사유 발생",,,"기타금융","무액면","8532512",,
"608","082110","동북아8호","KOSPI","선박투자회사","보통주","2005/02/22","2011/01/04","종목별 상장폐지신청",,,"서비스업","5000","2381200",,
"609","086720","코크렙7호","KOSPI","부동산투자회사","보통주","2005/11/11","2010/12/29","존속기간 만료",,,"서비스업","5000","12000000",,
"610","088010","동북아21호","KOSPI","선박투자회사","보통주","2006/01/27","2010/12/28","존속기간 만료",,,"서비스업","5000","129996",,
"611","052210","엠씨티티코어","KOSDAQ","주권","보통주","2002/12/23","2010/12/04","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/11/25","2010/12/03","통신장비","500","27080420",,
"612","101380","거북선2호","KOSPI","선박투자회사","보통주","2008/04/25","2010/12/03","신청에 의한 상장폐지",,,"서비스업","5000","2757190",,
"613","102000","거북선3호","KOSPI","선박투자회사","보통주","2008/04/25","2010/12/03","신청에 의한 상장폐지",,,"서비스업","5000","1218640",,
"614","047450","이앤텍","KOSDAQ","주권","보통주","2000/11/23","2010/11/30","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/11/19","2010/11/29","IT부품","500","81581416",,
"615","078420","동북아1호","KOSPI","선박투자회사","보통주","2004/09/17","2010/11/29","신청에 의한 상장폐지",,,"서비스업","5000","3222000",,
"616","048140","태광이엔시","KOSDAQ","주권","보통주","2001/04/26","2010/11/25","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/11/16","2010/11/24","일반전기전자","500","39417220",,
"617","044640","동부CNI","KOSDAQ","주권","보통주","2001/01/11","2010/11/22","피흡수합병",,,"컴퓨터서비스","500","24921042",,
"618","048510","테스텍","KOSDAQ","주권","보통주","2001/06/14","2010/11/10","최근 사업연도말 기준으로 자본잠식률 100분의 50 이상 및 자기자본 10억원 미만의 사유로 관리종목으로 지정된 후 최근 반기말 외부감사인의 감사보고서상 계속기업 존속능력에 대한 불확실성으로 인한 의견거절 발생","2010/11/01","2010/11/09","반도체","500","14501677",,
"619","070080","하이드로젠파워","KOSDAQ","주권","보통주","2002/12/13","2010/11/06","최종부도","2010/10/28","2010/11/05","운송장비·부품","500","53599355",,
"620","030790","동양시스템즈","KOSDAQ","주권","보통주","2000/12/26","2010/11/02","유가증권시장 상장",,,"서비스업","500","27200000","030790","비케이탑스"
"621","080410","동북아6호","KOSPI","선박투자회사","보통주","2004/11/30","2010/10/25","신청에 의한 상장폐지",,,"서비스업","5000","1368164",,
"622","052970","올리브나인","KOSDAQ","주권","보통주","2002/07/16","2010/10/20","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/10/11","2010/10/19","오락·문화","500","9322900",,
"623","013650","데코","KOSDAQ","주권","보통주","1996/01/20","2010/10/19","피흡수합병",,,"섬유·의류","500","36064572",,
"624","084160","골든경매일호","KOSPI","투자회사","보통주","2005/07/27","2010/10/15","해산 사유 발생",,,"기타금융","무액면","4100378",,
